day_id,city_id,temperature_celsius,wind_kph,wind_degree,pressure_mb,precip_mm,humidity,cloud,feels_like_celsius,visibility_km,uv_index,gust_kph,air_quality_us-epa-index,sunrise,sunset,condition_text
D0026,C001,19,4,150,1015,0,78,0,19,10,1,16.6,3,6:27 AM,6:39 PM,
D0027,C002,28,13,240,1014,0,30,25,27.4,10,7,5.4,1,6:16 AM,7:21 PM,
D0028,C002,19,3.6,83,1010,0,73,25,19,10,1,8.3,1,6:17 AM,7:20 PM,Partly Cloudy
D0029,C002,23,4,150,1014,0,78,25,25,10,1,17.6,1,6:17 AM,7:20 PM,
D0030,C002,22,6.8,200,1018,0,78,25,24.6,10,1,14.4,1,6:17 AM,7:18 PM,
D0031,C002,24,3.6,70,1013,0,83,0,25.7,10,1,12.6,1,6:18 AM,7:17 PM,
D0032,C002,27,16.9,90,1010,6.4,54,75,29.3,10,1,32.8,1,6:19 AM,7:15 PM,
D0033,C002,36,13,170,1010,0,29,50,37.9,3.5,1,47.9,4,6:20 AM,7:14 PM,
D0034,C002,26,16.9,280,1014,0,79,50,28.8,8,1,25.9,1,6:21 AM,7:12 PM,
D0035,C002,25,6.1,70,1015,0,83,25,27,10,1,17.3,1,6:21 AM,7:11 PM,Partly Cloudy
D0036,C002,24,11.2,40,1017,0,78,25,25.6,10,1,16.6,1,6:22 AM,7:10 PM,
D0037,C002,23,9,60,1017,0,78,50,25,10,1,20.5,1,6:23 AM,7:08 PM,
D0038,C002,21,4,140,1017,0,78,25,21,10,1,22.7,1,6:24 AM,7:07 PM,
D0039,C002,23,6.1,240,1015,0,89,0,25,10,1,20.5,1,6:25 AM,7:05 PM,
D0040,C002,24,3.6,180,1014,0,78,25,25.7,10,1,3.6,1,6:25 AM,7:03 PM,
D0041,C002,25,6.8,340,1014,0,83,50,26.5,10,1,6.1,1,6:26 AM,7:02 PM,
D0042,C002,25,3.6,141,1016,0,83,50,26.3,8,1,14.4,1,6:27 AM,7:00 PM,Light Rain with Thunder
D0043,C002,31,20.2,70,1014,0,59,50,36.7,10,7,25.2,1,6:29 AM,6:57 PM,
D0044,C002,27,9,320,1016,0,70,75,28.9,10,1,18.7,2,6:29 AM,6:57 PM,
D0045,C002,27,13,200,1011,0,54,75,27.3,7,1,20.9,1,6:29 AM,6:56 PM,
D0046,C002,37,31,180,1009,0,16,25,37.3,8,1,38.5,2,6:30 AM,6:54 PM,
D0047,C002,27,6.1,330,1017,0,66,75,28.8,10,1,9,1,6:31 AM,6:53 PM,
D0048,C002,26,9,30,1017,0,79,75,28.4,10,1,8.5,1,6:32 AM,6:51 PM,
D0049,C002,22,6.8,70,1019,0,94,75,24.5,10,1,21.8,1,6:33 AM,6:50 PM,
D0050,C002,22,3.6,10,1015,0,88,50,24.5,10,1,8.1,1,6:33 AM,6:48 PM,
D0051,C002,21,4,190,1012,0,78,0,21,10,1,10.8,1,6:34 AM,6:47 PM,
D0052,C002,22,6.8,240,1016,0.14,83,50,24.6,10,1,14.6,1,6:35 AM,6:45 PM,
D0053,C003,25,3.6,270,1016,0,69,75,26.9,10,6,5.8,4,6:11 AM,6:06 PM,
D0054,C003,21,11.2,140,1014,0,94,25,21,8,1,16.2,1,6:10 AM,6:05 PM,
D0055,C003,22,6.8,270,1015,0.1,88,75,24.5,8,1,18,1,6:10 AM,6:05 PM,
D0056,C003,21,3.6,177,1015,0,94,25,21,10,1,14.8,1,6:09 AM,6:05 PM,
D0057,C003,21,3.6,197,1014,0,94,75,21,8,1,14.4,1,6:09 AM,6:05 PM,
D0058,C003,22,11.2,220,1013,0,88,75,24.5,10,1,15.8,1,6:08 AM,6:05 PM,
D0059,C003,21,6.8,210,1015,0,94,75,21,8,1,14.8,1,6:08 AM,6:05 PM,
D0060,C003,21,9,220,1015,0,94,75,21,8,1,21.2,1,6:07 AM,6:05 PM,
D0061,C003,23,9,230,1014,0,83,75,25.4,9,1,9,1,6:07 AM,6:05 PM,
D0062,C003,22,6.8,220,1015,0,83,0,24.5,10,1,18,1,6:06 AM,6:05 PM,
D0063,C003,23,15.1,210,1014,0,83,25,25.2,10,1,24.1,1,6:06 AM,6:05 PM,
D0064,C003,22,19.1,190,1014,0,88,50,24.5,9,1,16.2,1,6:05 AM,6:05 PM,
D0065,C003,23,6.8,200,1015,0,83,75,25.3,9,1,16.9,1,6:05 AM,6:04 PM,
D0066,C003,23,6.8,200,1016,0,73,0,25.2,10,1,21.6,1,6:04 AM,6:04 PM,
D0067,C003,22,15.1,190,1013,0,83,25,24.5,10,1,19.1,1,6:03 AM,6:04 PM,
D0068,C003,22,11.2,200,1012,0,83,0,24.5,8,1,21.6,1,6:03 AM,6:04 PM,
D0069,C003,26,24.1,270,1008,0,65,25,28.2,10,6,31,1,6:02 AM,6:04 PM,
D0070,C003,23,16.9,170,1013,0,83,50,25.2,9,1,22.3,1,6:02 AM,6:04 PM,
D0071,C003,23,11.2,210,1014,0,83,75,25.2,10,1,22.7,1,6:01 AM,6:04 PM,
D0072,C003,22,6.8,240,1013,0,88,25,24.5,10,1,18.4,1,6:00 AM,6:04 PM,
D0073,C003,23,3.6,261,1013,0,83,0,25.3,8,1,17.1,1,6:00 AM,6:04 PM,
D0074,C003,23,3.6,236,1013,0,89,0,25.2,9,1,16.4,1,5:59 AM,6:03 PM,
D0075,C003,23,13,190,1014,0,83,25,25.2,8,1,18.9,1,5:59 AM,6:03 PM,
D0076,C003,23,11.2,180,1013,0,83,0,25.1,10,1,14.3,1,5:58 AM,6:03 PM,
D0077,C003,23,6.8,180,1013,0,83,25,25.2,10,1,18.6,1,5:58 AM,6:03 PM,
D0078,C003,23,11.2,190,1013,0,83,75,25.2,10,1,27.9,1,5:57 AM,6:03 PM,
D0079,C004,29,15.1,90,1015,0.3,79,75,34,10,1,37.4,1,5:53 AM,6:23 PM,Light Precipitation
D0080,C004,29,16.9,90,1017,0,75,50,33.7,10,1,36.7,1,5:54 AM,6:22 PM,
D0081,C004,29,15.1,100,1015,0.1,79,50,34.1,10,1,33.5,1,5:54 AM,6:22 PM,Cloudy and Overcast
D0082,C004,29,13,80,1014,0,75,25,33.9,10,1,31,1,5:54 AM,6:21 PM,
D0083,C004,29,11.2,90,1014,0,75,50,33.7,10,1,27,1,5:54 AM,6:21 PM,
D0084,C004,29,6.8,140,1013,0,75,25,33.4,10,1,29.9,1,5:54 AM,6:20 PM,
D0085,C004,28,6.8,140,1013,0,74,25,31.2,10,1,31,1,5:54 AM,6:19 PM,
D0086,C004,29,11.2,100,1015,0,66,25,32.6,10,1,30.6,1,5:54 AM,6:18 PM,
D0087,C004,27,6.1,100,1015,0.1,79,62,29.9,10,1,31.7,1,5:54 AM,6:18 PM,Cloudy and Overcast
D0088,C004,26,6.8,70,1014,0.1,94,50,28,10,1,27,1,5:55 AM,6:17 PM,
D0089,C004,29,16.9,50,1012,0,70,25,33.4,10,1,30.2,1,5:55 AM,6:16 PM,
D0090,C004,29,13,40,1011,0.2,79,50,33.8,10,6,29.5,1,5:55 AM,6:15 PM,
D0091,C004,30,15.1,250,1011,0.1,75,50,34.7,10,6,11.5,1,5:55 AM,6:14 PM,
D0092,C004,28,6.8,220,1011,0,84,25,31.1,10,7,29.5,1,5:55 AM,6:14 PM,
D0093,C004,30,6.8,230,1011,0,70,25,35.5,10,1,21.6,1,5:55 AM,6:13 PM,
D0094,C004,29,6.8,150,1010,0,70,25,33,10,7,29.2,1,5:55 AM,6:12 PM,
D0095,C004,32,13,170,1013,0,59,25,40.2,10,7,24.1,1,5:55 AM,6:10 PM,
D0096,C004,29,6.8,110,1012,0,75,25,33,10,7,20.9,1,5:55 AM,6:10 PM,
D0097,C004,29,11.2,50,1012,0,70,25,33.5,10,1,23,1,5:56 AM,6:09 PM,
D0098,C004,29,11.2,80,1012,0,75,25,33.3,10,6,25.9,1,5:56 AM,6:09 PM,
D0099,C004,29,9,70,1012,0.24,70,25,33.3,10,6,22.2,1,5:56 AM,6:08 PM,Partly Cloudy
D0100,C004,29,6.1,80,1012,0.06,75,25,33.3,10,6,15.4,1,5:56 AM,6:07 PM,
D0101,C004,30,11.2,90,1012,0,70,50,35.3,10,7,23.9,1,5:56 AM,6:06 PM,
D0102,C004,29,16.9,90,1012,0.01,79,50,33.7,10,6,31.4,1,5:56 AM,6:05 PM,
D0103,C004,29,9,100,1012,0.02,75,50,33.4,10,6,30.4,1,5:56 AM,6:04 PM,Cloudy and Overcast
D0104,C004,30,15.1,90,1010,0.02,70,75,36,10,6,28.8,1,5:56 AM,6:04 PM,
D0105,C005,9,11.2,70,1023,0,71,0,8,10,1,13.7,1,7:18 AM,6:34 PM,
D0106,C005,11,15.1,80,1019,0,82,0,9.9,10,1,18,1,7:17 AM,6:35 PM,Clear and Sunny
D0107,C005,16,3.6,40,1012,0,51,0,16,10,1,6.8,1,7:17 AM,6:35 PM,
D0108,C005,12,13,80,1016,0,62,0,11,10,1,19.1,1,7:15 AM,6:35 PM,
D0109,C005,17,3.6,113,1007,0,72,0,17,10,1,18.7,2,7:14 AM,6:36 PM,
D0110,C005,11,19.1,170,1014,0.1,76,0,8.9,10,1,23.8,1,7:13 AM,6:37 PM,
D0111,C005,11,15.1,170,1013,0.2,94,100,9.2,10,1,21.6,1,7:11 AM,6:37 PM,Cloudy and Overcast
D0112,C005,10,9,170,1022,0,58,0,9.6,10,1,9.7,1,7:10 AM,6:38 PM,
D0113,C005,10,16.9,110,1028,0,62,0,7.9,10,1,23,1,7:08 AM,6:39 PM,
D0114,C005,12,24.1,120,1020,0,77,0,9.9,10,1,32,1,7:07 AM,6:40 PM,Clear and Sunny
D0115,C005,14,16.9,240,1009,0,94,75,12.9,10,1,21.6,1,7:06 AM,6:40 PM,
D0116,C005,16,9,240,1016,0,59,0,16,10,1,14.4,1,7:04 AM,6:41 PM,
D0117,C005,17,15.1,40,1015,0,52,0,17,10,1,14.8,1,7:03 AM,6:42 PM,
D0118,C005,19,15.1,40,1009,0,68,0,19,10,1,18.4,1,7:01 AM,6:42 PM,
D0119,C005,16,31,230,1007,0,72,0,16,10,1,34.6,1,7:00 AM,6:43 PM,
D0120,C005,15,11.2,210,1019,0,41,0,15.8,10,1,6.5,1,6:59 AM,6:44 PM,
D0121,C005,15,11.2,340,1020,0,51,0,14.4,10,3,13.7,1,6:56 AM,6:45 PM,
D0122,C005,16,16.9,30,1016,0,48,0,16,10,1,16.2,1,6:56 AM,6:45 PM,
D0123,C005,23,20.2,360,1004,0,44,0,24.5,10,1,34.9,1,6:54 AM,6:46 PM,
D0124,C005,22,19.1,180,1004,0,46,0,24.5,10,1,23.8,2,6:53 AM,6:47 PM,
D0125,C005,16,28.1,160,1011,0.04,51,0,16,10,1,33.3,1,6:51 AM,6:47 PM,Clear and Sunny
D0126,C005,14,19.1,120,1020,0,63,0,12.9,10,1,22.3,1,6:50 AM,6:48 PM,
D0127,C005,15,28.1,120,1019,0,77,75,13.8,10,1,25.9,1,6:49 AM,6:49 PM,Partly Cloudy
D0128,C005,16,20.2,120,1014,0.08,94,100,16,2.5,1,25.6,1,6:47 AM,6:49 PM,Light Precipitation
D0129,C005,19,9,200,1009,0.01,83,75,19,9,1,9.7,1,6:46 AM,6:50 PM,
D0130,C005,13,25.9,130,1016,0,82,25,11.2,10,1,25.7,1,6:44 AM,6:51 PM,
D0131,C006,31,9,170,1003,0,26,25,29,10,8,8.3,1,6:26 AM,7:39 PM,
D0132,C006,18,6.1,50,1011,0,60,0,18,10,5,12.6,1,6:27 AM,7:38 PM,
D0133,C006,21,9,50,1015,0,46,0,21,10,1,17.3,1,6:27 AM,7:38 PM,
D0134,C006,24,9,40,1015,0,36,0,25.2,10,1,22.7,1,6:28 AM,7:36 PM,Clear and Sunny
D0135,C006,25,6.1,130,1014,0,36,0,25.7,10,1,21.2,1,6:29 AM,7:35 PM,
D0136,C006,26,24.1,50,1012,0,39,0,26.6,10,1,23.4,1,6:30 AM,7:33 PM,
D0137,C006,25,11.2,60,1010,0,47,0,26.4,10,1,17.6,1,6:31 AM,7:32 PM,
D0138,C006,23,9,90,1013,0,31,0,23.9,10,1,14.4,1,6:32 AM,7:30 PM,
D0139,C006,24,6.1,80,1014,0,34,0,24,10,1,16.6,2,6:33 AM,7:28 PM,
D0140,C006,22,3.6,10,1012,0,46,0,24.3,10,1,20.5,1,6:34 AM,7:27 PM,
D0141,C006,25,19.1,360,1012,0,39,0,26.1,10,1,18.4,1,6:35 AM,7:25 PM,Clear and Sunny
D0142,C006,21,3.6,14,1011,0,69,25,21,10,1,15.5,1,6:35 AM,7:23 PM,
D0143,C006,17,6.1,120,1010,0,77,37,17,10,1,3.6,1,6:36 AM,7:22 PM,
D0144,C006,13,9,250,1013,0,51,0,12.3,10,1,19.4,1,6:37 AM,7:20 PM,
D0145,C006,16,3.6,25,1013,0,72,0,16,10,1,13.7,1,6:38 AM,7:18 PM,
D0146,C006,14,3.6,10,1017,0,94,75,14.3,6,1,5.8,1,6:39 AM,7:17 PM,Light Precipitation
D0147,C006,25,6.1,140,1015,0,30,25,24.6,10,6,5,1,6:41 AM,7:13 PM,
D0148,C006,18,3.6,10,1018,0,39,0,18,10,1,24.8,1,6:41 AM,7:13 PM,Clear and Sunny
D0149,C006,20,9,60,1017,0,40,0,20,10,1,24.8,1,6:42 AM,7:12 PM,
D0150,C006,19,3.6,22,1015,0.1,43,0,19,10,1,20.9,1,6:43 AM,7:10 PM,
D0151,C006,19,9,20,1014,0.64,43,0,19,10,1,17.9,1,6:44 AM,7:08 PM,
D0152,C006,18,25.9,360,1018,0,39,0,18,10,1,20,1,6:45 AM,7:07 PM,
D0153,C006,17,3.6,30,1020,0,48,0,17,10,1,14.9,1,6:46 AM,7:05 PM,
D0154,C006,15,4,40,1019,0.07,67,25,14.9,10,1,12.6,1,6:47 AM,7:03 PM,
D0155,C006,20,11.2,40,1019,0,40,0,20,10,1,21.3,1,6:48 AM,7:02 PM,
D0156,C006,20,9,40,1020,0,46,0,20,10,1,22.1,1,6:49 AM,7:00 PM,
D0157,C007,13,15.1,10,1017,0,62,0,12.7,10,1,15.1,1,6:27 AM,5:42 PM,
D0158,C007,16,15.1,280,1013,0,55,75,16,10,5,23,1,6:26 AM,5:42 PM,
D0159,C007,8,6.8,360,1018,0,100,75,8,10,3,2.2,1,6:26 AM,5:42 PM,
D0160,C007,11,24.1,180,1021,0,50,0,9.5,10,3,13.7,1,6:25 AM,5:43 PM,
D0161,C007,7,9,150,1024,0,66,0,6.5,10,3,5.4,1,6:23 AM,5:44 PM,
D0162,C007,9,9,230,1022,0,76,0,9.1,10,4,2.2,1,6:22 AM,5:45 PM,
D0163,C007,9,9,210,1016,0,87,100,9.1,10,4,2.9,1,6:21 AM,5:45 PM,
D0164,C007,14,31,270,1012,0,28,0,12.3,10,4,25.2,1,6:19 AM,5:46 PM,
D0165,C007,7,3.6,340,1023,0,76,0,6,10,3,7.2,1,6:18 AM,5:47 PM,
D0166,C007,9,6.8,160,1019,0,71,0,9.1,10,4,4,1,6:16 AM,5:48 PM,
D0167,C007,10,34.9,320,1015,0.2,62,50,6.5,10,2,35.6,1,6:15 AM,5:48 PM,
D0168,C007,6,19.1,300,1025,0,61,0,3.3,10,2,14.8,1,6:14 AM,5:49 PM,
D0169,C007,3,6.1,330,1030,0,87,0,2.5,10,2,2.9,1,6:12 AM,5:50 PM,
D0170,C007,8,9,140,1032,0,76,0,7.4,10,3,6.1,1,6:11 AM,5:50 PM,
D0171,C007,6,6.1,120,1031,0,100,75,5.8,10,4,2.9,1,6:09 AM,5:51 PM,
D0172,C007,8,4,130,1030,0,87,0,8,10,3,3.2,1,6:08 AM,5:52 PM,
D0173,C007,8,3.6,10,1027,0,87,0,8,10,1,2.2,1,6:05 AM,5:53 PM,
D0174,C007,9,9,360,1026,0,93,0,8.4,10,4,7.9,1,6:05 AM,5:53 PM,Clear and Sunny
D0175,C007,14,9,200,1023,0,67,0,13.6,10,4,12.2,1,6:04 AM,5:54 PM,
D0176,C007,18,24.1,350,1023,0,49,0,18,10,4,6.1,1,6:02 AM,5:55 PM,
D0177,C007,10,3.6,10,1022,0,76,0,9.7,10,4,6.9,1,6:01 AM,5:55 PM,
D0178,C007,14,3.6,10,1019,0,72,0,13.5,10,5,12.2,1,6:00 AM,5:56 PM,
D0179,C007,17,31,350,1010,0,42,0,17,10,5,30.2,1,5:58 AM,5:57 PM,
D0180,C007,12,9,300,1016,0,44,0,11,10,4,12,1,5:57 AM,5:58 PM,
D0181,C007,8,9,130,1030,0,71,0,6.9,10,3,8.3,1,5:55 AM,5:58 PM,
D0182,C007,6,9,150,1031,0,81,0,5.8,10,3,2.9,1,5:54 AM,5:59 PM,
D0183,C008,16,19.1,320,1005,0,82,75,16,10,4,25.9,1,6:07 AM,7:43 PM,
D0184,C008,15,15.1,300,1007,0,82,25,14,10,1,21.6,1,6:09 AM,7:41 PM,
D0185,C008,17,13,310,1010,0,63,0,17,10,1,16.2,1,6:09 AM,7:41 PM,
D0186,C008,16,6.8,250,1017,0.1,77,0,16,10,1,13,1,6:10 AM,7:39 PM,Clear and Sunny
D0187,C008,18,6.8,250,1018,0,77,0,18,10,1,8.3,1,6:11 AM,7:37 PM,
D0188,C008,17,6.1,220,1021,0,83,0,17,10,1,9.4,2,6:13 AM,7:35 PM,
D0189,C008,17,13,320,1026,0,77,25,17,10,1,18.7,1,6:14 AM,7:33 PM,
D0190,C008,13,6.1,320,1026,0,77,0,13.5,10,1,7.2,1,6:16 AM,7:31 PM,
D0191,C008,13,9,190,1024,0,77,0,13.2,10,1,10.4,1,6:17 AM,7:29 PM,
D0192,C008,15,3.6,119,1023,0,82,0,15.5,10,1,9.7,1,6:18 AM,7:27 PM,
D0193,C008,15,3.6,118,1023,0,77,0,15.3,10,1,11.2,1,6:20 AM,7:25 PM,
D0194,C008,18,11.2,180,1020,0,68,0,18,10,1,9.7,1,6:21 AM,7:23 PM,
D0195,C008,19,6.8,160,1019,0,64,0,19,10,1,4.7,1,6:22 AM,7:21 PM,
D0196,C008,17,9,170,1017,0,77,0,17,10,1,2.2,1,6:24 AM,7:19 PM,
D0197,C008,19,3.6,293,1014,0,78,0,19,10,1,5.4,2,6:25 AM,7:16 PM,
D0198,C008,20,9,160,1013,0,73,0,20,10,1,2.9,2,6:27 AM,7:14 PM,
D0199,C008,23,16.9,340,1019,0,57,25,24.8,10,6,15.5,1,6:29 AM,7:10 PM,
D0200,C008,16,6.8,330,1021,0,88,25,16,10,1,10.1,1,6:29 AM,7:10 PM,
D0201,C008,16,9,150,1019,0,77,0,16,10,1,17.3,2,6:31 AM,7:08 PM,
D0202,C008,19,20.2,150,1017,0,73,0,19,10,1,11.9,1,6:32 AM,7:06 PM,
D0203,C008,19,3.6,137,1017,0,78,0,19,10,1,14.1,2,6:33 AM,7:04 PM,
D0204,C008,22,25.9,280,1010,0,61,0,24.5,10,1,33.5,1,6:35 AM,7:02 PM,
D0205,C008,17,11.2,220,1017,0,72,0,17,10,1,7,1,6:36 AM,7:00 PM,Clear and Sunny
D0206,C008,20,20.2,160,1012,0,78,0,20,10,1,23,1,6:38 AM,6:57 PM,
D0207,C008,22,31,140,1002,0,65,25,24.6,10,1,23.3,1,6:39 AM,6:55 PM,
D0208,C008,18,25.9,310,1008,0,68,25,18,10,1,21.5,1,6:40 AM,6:53 PM,
D0209,C009,38,13,60,1000,0,54,0,47.8,10,9,16.2,4,5:16 AM,6:01 PM,
D0210,C009,33,9,90,1001,0,67,0,39.8,10,1,12.2,2,5:17 AM,6:00 PM,Clear and Sunny
D0211,C009,34,13,340,1003,0,71,0,45.3,10,1,19.4,3,5:17 AM,6:00 PM,
D0212,C009,34,20.2,310,1004,0,60,0,41.7,10,1,43.2,2,5:17 AM,5:59 PM,
D0213,C009,34,9,270,1003,0,47,0,41.5,10,1,28.4,3,5:18 AM,5:58 PM,Clear and Sunny
D0214,C009,33,9,140,1002,0,71,0,41.7,10,1,13.3,2,5:18 AM,5:57 PM,
D0215,C009,33,6.8,110,1001,0,71,0,42.1,8,1,5.4,2,5:18 AM,5:56 PM,
D0216,C009,33,4,320,1001,0,71,0,41.5,10,1,11.9,4,5:19 AM,5:55 PM,
D0217,C009,34,6.1,180,1002,0,63,0,44.2,9,1,7.6,4,5:19 AM,5:54 PM,
D0218,C009,34,9,200,1001,0,80,0,46.4,4.5,1,14.8,3,5:20 AM,5:53 PM,Mist or Fog
D0219,C009,35,13,130,1000,0,71,0,51.1,7,1,23,3,5:20 AM,5:52 PM,
D0220,C009,34,6.1,200,1002,0,75,0,45.6,10,1,6.8,3,5:21 AM,5:50 PM,
D0221,C009,36,11.2,270,1000,0,47,0,46.1,10,1,43.9,3,5:21 AM,5:49 PM,
D0222,C009,34,6.1,110,999,0,67,0,40.4,10,1,15.5,3,5:21 AM,5:48 PM,
D0223,C009,33,6.1,100,1000,0,75,0,44.3,7,1,10.4,4,5:22 AM,5:47 PM,
D0224,C009,33,6.1,280,1001,0,71,0,42.3,8,1,15.5,4,5:22 AM,5:46 PM,
D0225,C009,38,16.9,350,1000,0,48,0,61.9,10,8,25.6,3,5:23 AM,5:44 PM,
D0226,C009,35,19.1,310,1001,0,63,0,49,10,1,33.1,3,5:23 AM,5:44 PM,
D0227,C009,35,28.1,320,1002,0,56,0,45.5,9,1,45.7,2,5:23 AM,5:43 PM,
D0228,C009,35,16.9,290,1002,0,44,0,46,10,1,35.3,3,5:24 AM,5:42 PM,
D0229,C009,34,6.8,280,1000,0,56,0,40.3,10,1,34.8,3,5:24 AM,5:41 PM,
D0230,C009,33,9,290,1001,0,59,0,37.7,10,1,13.1,3,5:25 AM,5:39 PM,
D0231,C009,31,11.2,340,1004,0,71,0,35.9,10,1,21.6,2,5:25 AM,5:38 PM,
D0232,C009,32,11.2,320,1004,0,63,0,37,10,1,21.2,2,5:25 AM,5:37 PM,Clear and Sunny
D0233,C009,32,9,300,1004,0,67,0,36.1,10,1,28.8,2,5:26 AM,5:36 PM,
D0234,C009,31,6.1,280,1003,0,84,0,35.9,10,1,12.8,3,5:26 AM,5:35 PM,
D0235,C010,34,5.4,259,1000,0,52,70,39.6,10,7,7.6,4,5:39 AM,6:19 PM,Cloudy and Overcast
D0236,C010,30.6,3.6,47,1005,0,61,10,34.4,10,8,4.7,5,5:40 AM,6:18 PM,
D0237,C010,29.6,4,173,1004,0,70,28,34,10,1,6.5,4,5:40 AM,6:18 PM,
D0238,C010,28.2,11.2,193,1004,0.1,82,80,33.1,10,1,17.6,4,5:40 AM,6:18 PM,Light Precipitation
D0239,C010,28.6,7.2,159,1004,0,80,29,33.7,10,1,11.2,4,5:40 AM,6:17 PM,
D0240,C010,28.8,6.8,242,1001,0.2,80,72,34,9,1,11.5,3,5:41 AM,6:16 PM,
D0241,C010,29.7,7.6,236,1003,0.2,74,53,35.2,10,1,13,3,5:41 AM,6:15 PM,Rain Showers
D0242,C010,27.4,4.3,168,1002,0,82,48,31.4,10,1,6.8,2,5:41 AM,6:14 PM,Partly Cloudy
D0243,C010,28.2,6.8,169,1003,0.1,83,59,33.2,10,1,10.8,2,5:42 AM,6:13 PM,Light Precipitation
D0244,C010,26.8,15.8,113,1004,0,86,100,30.6,10,1,22,1,5:42 AM,6:12 PM,Cloudy and Overcast
D0245,C010,26,17.6,152,1003,0.5,93,100,29.9,10,1,25.6,1,5:42 AM,6:11 PM,Rain Showers
D0246,C010,25.6,9.4,129,1005,0,93,48,29.1,10,1,15.5,2,5:43 AM,6:10 PM,Partly Cloudy
D0247,C010,26.9,9.4,215,1003,0,85,35,30.7,10,1,15.1,2,5:43 AM,6:09 PM,
D0248,C010,26.6,11.2,178,1001,1.4,92,86,30.9,10,1,19.1,2,5:43 AM,6:08 PM,
D0249,C010,27.2,10.1,156,1002,0,86,86,31.4,10,1,15.5,1,5:44 AM,6:07 PM,Cloudy and Overcast
D0250,C010,26.7,14.4,135,1002,0,88,45,30.6,10,1,20.5,2,5:44 AM,6:06 PM,
D0251,C010,27.8,19.8,151,1005,0,82,67,32.3,10,1,28.4,1,5:44 AM,6:04 PM,
D0252,C010,25.9,17.3,116,1005,0,91,62,29.4,10,1,25.6,1,5:44 AM,6:04 PM,
D0253,C010,26.5,9,152,1006,0,89,26,30.5,9,1,14,1,5:45 AM,6:03 PM,Light Rain with Thunder
D0254,C010,27.3,7.9,184,1004,0.1,84,80,31.4,10,1,13,3,5:45 AM,6:02 PM,
D0255,C010,26.8,13,127,1003,0.04,86,80,30.5,10,1,20.2,3,5:45 AM,6:01 PM,Light Precipitation
D0256,C010,24.8,16.9,124,1004,4.7,93,78,27.7,7,1,24.8,1,5:46 AM,6:00 PM,Moderate to Heavy Rain
D0257,C010,25.2,14.4,98,1006,0,93,55,28.3,10,1,22.5,1,5:46 AM,5:59 PM,
D0258,C010,25.4,11.9,130,1006,1.55,95,51,28.9,9,1,20.3,1,5:46 AM,5:57 PM,Light Precipitation
